ID,TEXTO
1054452647766491141,"RT @titevera: Chicas, aquí con @naoakitaa queremos armar un hilo colaborativo de filtros para espantar machirulos desde la primera cita. Fa…"
1054451884356816896,"RT @libertaria_2: A q hora son las manifestaciones contra esta nueva agresion sexual?

Dónde están la del #MeToo ?
Dónde están las feminazi…"
1054451497868636161,"Así es #NsawyaFM, la #emisoraclandestina que combate la #represión #machista en #ArabiaSaudí: 'Somos la mayoría sil… https://t.co/e864Y9DWuN"
1054451150836191232,"RT @titevera: Chicas, aquí con @naoakitaa queremos armar un hilo colaborativo de filtros para espantar machirulos desde la primera cita. Fa…"
1054451088303292416,"RT @libertaria_2: A q hora son las manifestaciones contra esta nueva agresion sexual?

Dónde están la del #MeToo ?
Dónde están las feminazi…"
1054450364827820035,"El #metooFISIO está visibilizando cantidad de situaciones zafias, de tensión injustificada, de abuso... Cuántos col… https://t.co/90Hu42hHry"
1054450270871138305,"RT @libertaria_2: A q hora son las manifestaciones contra esta nueva agresion sexual?

Dónde están la del #MeToo ?
Dónde están las feminazi…"
1054450062888185857,"#MeToo: "Primer año de un fenómeno viral
En medio de un clima reivindicativo, el fenómeno de un hashtag que es dign… https://t.co/T4hDeEn7y8"
1054449076102746112,"Belleza eres tú. #inktoberfeminista DÍA 22 - #belleza .
.
You are beauty. #feministinktober DAY 22 - #beauty .… https://t.co/rzdG3kXZjA"
1054448335623462913,"Hace un tiempo más largo recomendé también:
• She’s Beautiful When She’s Angry (sobre algunas heroínas de la Segund… https://t.co/Xq0lCx2FGI"
1054447397886181383,"RT @CNTValladolid: El movimiento #feminista tiene esto preparado para esta semana en #Valladolid #Pucela.

#Feminismo https://t.co/3ld0GBFG…"
1054447297889624064,"Comienza nuestra semana de #ManoasLectoras con @ConstanzaHernn7, hablaremos de una #poeta y novelista de las más im… https://t.co/8W7M4Ei36W"
1054447041932419073,"@MarlonPachecoS Deshazte del gobierno el Abusador de prostitutas menores 
#Menéndez
#MeToo DONDE ESTÁN USTEDES?!?!… https://t.co/ihN7d8yIQI"
1054446189888839682,"RT @titevera: Chicas, aquí con @naoakitaa queremos armar un hilo colaborativo de filtros para espantar machirulos desde la primera cita. Fa…"
1054446179277307906,"RT @titevera: Chicas, aquí con @naoakitaa queremos armar un hilo colaborativo de filtros para espantar machirulos desde la primera cita. Fa…"
1054446045516759040,"RT @KojudoReloaded: Otra razón por la que ser #Feminista es sinónimo de deficiencia enzimática del tipo Alfa L-idurodinasa (Google it?!) ht…"
1054443601525161985,"RT @fisioterricola: Más vale tarde...Historias fisioterápicas: #metoo https://t.co/UhIagbK0w6"
1054440234115579905,"RT @titevera: Chicas, aquí con @naoakitaa queremos armar un hilo colaborativo de filtros para espantar machirulos desde la primera cita. Fa…"
1054439617452302337,"Chicas, aquí con @naoakitaa queremos armar un hilo colaborativo de filtros para espantar machirulos desde la primer… https://t.co/CL77VwyYbg"
1054436768018092032,"Poetas por Twitter vemos.
Abusadores por Telegram no sabemos.
Mi nombre es Eduardo y esta es mi historia #metoo https://t.co/0MUPhZdY7E"
1054435792007938049,"RT @EIBertaCaceres: II Encuentro de Cultura #Urbana #Feminista el 24/10/18 a las 18:30. Esta vez hablaremos del #graffiti, visibilizando a…"
1054435198396448768,"II Encuentro de Cultura #Urbana #Feminista el 24/10/18 a las 18:30. Esta vez hablaremos del #graffiti, visibilizand… https://t.co/ey49sPNdif"
1054434674515288064,"RT @LauraD_Ayuso: Esto sí es importante. Todos los sectores lo padecen, pero los hay más propensos. Por eso hay que denunciarlo... El #MeTo…"
1054433957029253120,"El auge de las #FakeNews, el empoderamiento del consumidor, las brechas de seguridad y los movimientos como #Metoo… https://t.co/u12PBm5lCj"
1054431995986620416,"RT @EvaLeandrez: @floareaboldea @ghoficial @telecincoes Flaco favor le están haciendo a este muchacho ,cuando salga de la casa y se encuent…"
1054431752679313409,"@floareaboldea @ghoficial @telecincoes Flaco favor le están haciendo a este muchacho ,cuando salga de la casa y se… https://t.co/LdJcFTXW57"
1054429693296939009,"#MejorVivasQueCatrinas: Del #MeToo al #DiadeMuertas en #México. Vía @LeequidMagazine https://t.co/zAfwhknDqe https://t.co/nQHNeKX91b"
1054428572738355205,"RT @LauraD_Ayuso: Esto sí es importante. Todos los sectores lo padecen, pero los hay más propensos. Por eso hay que denunciarlo... El #MeTo…"
1054428416752214016,"RT @LauraD_Ayuso: Esto sí es importante. Todos los sectores lo padecen, pero los hay más propensos. Por eso hay que denunciarlo... El #MeTo…"
1054427841184587778,"RT @LauraD_Ayuso: Esto sí es importante. Todos los sectores lo padecen, pero los hay más propensos. Por eso hay que denunciarlo... El #MeTo…"
1054427113581875201,"RT @LauraD_Ayuso: Esto sí es importante. Todos los sectores lo padecen, pero los hay más propensos. Por eso hay que denunciarlo... El #MeTo…"
1054426156215222272,"RT @LauraD_Ayuso: Esto sí es importante. Todos los sectores lo padecen, pero los hay más propensos. Por eso hay que denunciarlo... El #MeTo…"
1054425582610665472,"Esto sí es importante. Todos los sectores lo padecen, pero los hay más propensos. Por eso hay que denunciarlo... El… https://t.co/TiKL6WWceD"
1054424923794534402,"RT @semiramis_glez: Hoy mesa redonda #Feminista de Autogestión en las artes, a las 20 h., en @laquintita con Rocío Mateo-Sagasta, Lucia Lij…"
1054423643122479104,"@Rebmangas sin ir mas lejos, el de derecho al voto no lo reconocieron hasta asegurar que las mujeres no ocasionaria… https://t.co/FUzR6cGjAd"
